,0
799,8
800,4
801,5
802,5
803,4
804,3
805,6
806,4
807,4
808,5
809,6
810,3
811,5
812,4
813,4
814,6
815,7
816,2
817,5
818,4
819,4
820,7
821,3
822,5
823,4
824,4
825,4
826,3
827,4
828,3
829,3
830,4
831,3
832,5
833,6
834,5
835,5
836,3
837,5
838,7
839,3
840,8
841,6
842,3
843,9
844,4
845,2
846,4
847,3
848,6
849,4
850,5
851,3
852,3
853,3
854,6
855,5
856,4
857,5
858,6
859,7
860,7
861,5
862,3
863,4
864,3
865,6
866,3
867,3
868,6
869,4
870,7
871,6
872,4
873,5
874,4
875,4
876,3
877,5
878,4
879,6
880,7
881,5
882,5
883,5
884,6
885,5
886,3
887,4
888,8
889,5
890,7
891,6
892,3
893,4
894,4
895,11
896,7
897,12
898,5
899,4
900,8
901,4
902,5
903,4
904,5
905,4
906,5
907,5
908,4
909,6
910,6
911,3
912,4
913,3
914,5
915,4
916,3
917,5
918,4
919,5
920,4
921,7
922,5
923,5
924,5
925,4
926,4
927,5
928,6
929,5
930,4
931,4
932,5
933,4
934,3
935,4
936,5
937,5
938,4
939,5
940,6
941,3
942,5
943,5
944,7
945,5
946,5
947,5
948,5
949,6
950,5
951,4
952,5
953,5
954,5
955,4
956,4
957,6
958,5
959,4
960,6
961,3
962,4
963,4
964,4
965,6
966,6
967,6
968,4
969,5
970,4
971,5
972,8
973,5
974,6
975,6
976,4
977,4
978,5
979,4
980,5
981,4
982,6
983,3
984,5
985,4
986,3
987,6
988,4
989,6
990,3
991,4
992,4
993,5
994,2
995,6
996,3
997,4
998,3
999,3
1000,3
1001,4
1002,4
1003,5
1004,4
1005,5
1006,5
1007,4
1008,3
1009,4
1010,4
1011,4
1012,5
1013,5
1014,5
1015,4
1016,4
1017,4
1018,4
1019,4
1020,3
1021,4
1022,5
1023,4
1024,4
1025,5
1026,7
1027,6
1028,6
1029,6
1030,4
1031,6
1032,4
1033,6
1034,5
1035,3
1036,6
1037,4
1038,5
1039,4
1040,5
1041,5
1042,3
1043,4
1044,4
1045,5
1046,4
1047,4
1048,5
1049,5
1050,6
1051,4
1052,6
1053,3
1054,5
1055,5
1056,5
1057,4
1058,5
1059,6
1060,6
1061,5
1062,5
1063,7
1064,7
1065,5
1066,5
1067,4
1068,6
1069,4
1070,5
1071,4
1072,5
1073,7
1074,6
1075,5
1076,4
1077,4
1078,7
1079,5
1080,5
1081,3
1082,4
1083,4
1084,4
1085,4
1086,5
1087,4
1088,4
1089,3
1090,6
1091,6
1092,5
1093,6
