,0
799,10
800,6
801,7
802,6
803,6
804,7
805,6
806,8
807,7
808,7
809,10
810,9
811,8
812,7
813,7
814,9
815,6
816,7
817,7
818,6
819,8
820,12
821,5
822,8
823,6
824,6
825,4
826,7
827,9
828,7
829,6
830,5
831,6
832,8
833,10
834,6
835,7
836,9
837,8
838,8
839,6
840,7
841,6
842,7
843,11
844,4
845,4
846,6
847,5
848,7
849,5
850,6
851,6
852,6
853,5
854,6
855,6
856,5
857,6
858,7
859,5
860,4
861,6
862,6
863,3
864,5
865,5
866,3
867,4
868,4
869,5
870,6
871,4
872,7
873,8
874,6
875,7
876,5
877,7
878,6
879,6
880,4
881,5
882,5
883,9
884,10
885,8
886,8
887,8
888,10
889,8
890,10
891,8
892,8
893,9
894,6
895,11
896,11
897,12
898,6
899,8
900,9
901,5
902,8
903,6
904,6
905,6
906,6
907,7
908,6
909,7
910,8
911,5
912,6
913,6
914,4
915,4
916,5
917,6
918,6
919,6
920,7
921,8
922,7
923,8
924,6
925,7
926,6
927,8
928,4
929,5
930,7
931,5
932,6
933,4
934,5
935,4
936,8
937,5
938,6
939,4
940,3
941,8
942,6
943,7
944,6
945,5
946,5
947,7
948,4
949,5
950,6
951,7
952,8
953,7
954,7
955,7
956,6
957,7
958,7
959,5
960,6
961,6
962,6
963,3
964,6
965,6
966,5
967,5
968,5
969,6
970,7
971,5
972,5
973,7
974,8
975,6
976,6
977,6
978,5
979,8
980,4
981,7
982,7
983,4
984,5
985,6
986,5
987,6
988,6
989,8
990,6
991,4
992,6
993,9
994,8
995,5
996,6
997,5
998,7
999,4
1000,8
1001,7
1002,5
1003,5
1004,4
1005,4
1006,5
1007,5
1008,5
1009,6
1010,6
1011,4
1012,7
1013,6
1014,6
1015,5
1016,7
1017,5
1018,6
1019,5
1020,6
1021,4
1022,6
1023,5
1024,5
1025,8
1026,6
1027,8
1028,7
1029,9
1030,4
1031,9
1032,8
1033,7
1034,5
1035,4
1036,7
1037,5
1038,5
1039,6
1040,6
1041,7
1042,8
1043,7
1044,6
1045,6
1046,8
1047,6
1048,7
1049,6
1050,5
1051,6
1052,8
1053,6
1054,8
1055,6
1056,5
1057,6
1058,6
1059,6
1060,5
1061,5
1062,7
1063,8
1064,7
1065,7
1066,6
1067,6
1068,6
1069,6
1070,5
1071,6
1072,10
1073,9
1074,6
1075,6
1076,7
1077,5
1078,10
1079,5
1080,8
1081,9
1082,7
1083,6
1084,6
1085,6
1086,6
1087,5
1088,6
1089,9
1090,8
1091,5
1092,6
1093,5
1094,8
1095,8
1096,7
1097,9
1098,6
1099,8
1100,8
1101,7
1102,6
1103,7
1104,5
1105,7
1106,6
1107,7
1108,5
1109,8
1110,7
1111,5
1112,6
1113,6
1114,6
1115,3
1116,4
1117,4
1118,5
1119,9
1120,5
1121,5
1122,5
1123,5
1124,7
1125,4
1126,5
1127,6
1128,8
1129,11
1130,7
1131,7
1132,6
1133,5
1134,4
1135,7
1136,8
1137,5
1138,6
1139,7
1140,8
1141,9
1142,5
1143,5
1144,6
1145,7
1146,6
1147,5
1148,5
1149,4
1150,5
1151,5
1152,6
1153,5
1154,5
1155,8
1156,6
1157,10
1158,6
1159,7
1160,6
1161,5
1162,5
1163,6
1164,6
1165,4
1166,5
1167,6
1168,5
1169,5
1170,5
1171,5
1172,6
1173,7
1174,8
1175,6
1176,8
1177,7
1178,7
1179,5
1180,8
1181,6
1182,6
1183,7
1184,5
1185,5
1186,7
1187,5
1188,6
1189,6
1190,5
1191,7
1192,6
1193,6
1194,5
1195,7
1196,6
1197,5
1198,6
1199,7
1200,4
1201,7
1202,5
1203,5
1204,8
1205,7
1206,6
1207,5
1208,7
1209,6
1210,5
1211,6
1212,7
1213,5
1214,6
1215,5
1216,6
1217,7
1218,7
1219,7
1220,6
1221,6
1222,6
1223,5
1224,5
1225,8
1226,7
1227,6
1228,7
1229,6
1230,5
1231,9
1232,6
1233,6
1234,8
1235,6
1236,5
1237,4
1238,5
1239,5
1240,6
1241,6
1242,6
1243,6
1244,6
1245,6
1246,6
1247,5
1248,6
1249,7
1250,6
1251,5
1252,7
1253,5
1254,7
1255,6
1256,6
1257,5
1258,8
1259,9
1260,7
1261,5
1262,5
1263,5
1264,5
1265,6
1266,7
1267,7
1268,6
1269,6
1270,5
1271,8
1272,6
1273,7
1274,6
1275,5
1276,4
1277,5
1278,9
1279,7
1280,6
1281,4
1282,6
1283,6
1284,8
1285,8
1286,10
1287,8
1288,6
1289,5
1290,6
1291,7
1292,7
1293,5
1294,4
1295,8
1296,6
1297,6
1298,5
1299,6
1300,8
1301,5
1302,5
1303,6
1304,6
1305,7
1306,9
1307,5
1308,8
1309,4
1310,7
1311,9
1312,4
1313,6
1314,5
1315,10
1316,5
1317,4
1318,5
1319,4
1320,6
1321,7
1322,10
1323,5
1324,6
1325,7
1326,7
1327,7
1328,4
1329,6
1330,6
1331,4
1332,4
1333,6
1334,7
1335,6
1336,8
1337,6
1338,7
1339,5
1340,6
1341,6
1342,5
1343,6
1344,6
1345,4
1346,5
1347,5
1348,4
1349,4
1350,5
1351,5
1352,6
1353,7
1354,5
1355,9
1356,6
1357,5
1358,5
1359,5
1360,9
1361,6
1362,8
1363,6
1364,6
1365,6
1366,9
1367,6
1368,6
1369,5
1370,6
1371,5
1372,8
1373,7
1374,6
1375,9
1376,6
1377,7
1378,10
1379,6
1380,7
1381,6
1382,6
1383,8
1384,7
1385,10
1386,8
1387,12
1388,11
1389,7
1390,7
1391,7
1392,7
1393,11
1394,8
1395,8
1396,8
1397,7
1398,4
1399,8
1400,4
1401,6
1402,6
1403,5
1404,6
1405,5
1406,7
1407,6
1408,7
1409,6
1410,6
1411,7
1412,7
1413,6
1414,6
1415,6
1416,8
1417,5
1418,8
1419,5
1420,5
1421,5
1422,6
1423,6
1424,6
1425,9
1426,6
1427,7
1428,6
1429,5
1430,9
1431,7
1432,5
1433,7
1434,10
1435,4
1436,6
1437,7
1438,4
1439,6
1440,4
1441,4
1442,4
1443,5
1444,5
1445,7
1446,6
1447,8
1448,6
1449,5
1450,5
1451,6
1452,9
1453,10
1454,5
1455,6
1456,6
1457,5
1458,5
1459,5
1460,4
1461,7
1462,6
1463,8
1464,6
1465,7
1466,7
1467,6
1468,7
1469,9
1470,5
1471,6
1472,5
1473,6
1474,4
1475,5
1476,6
1477,6
1478,8
1479,6
1480,6
1481,6
1482,6
1483,8
1484,7
1485,6
1486,7
1487,8
1488,6
1489,6
1490,7
1491,5
1492,6
1493,4
1494,7
1495,5
1496,6
1497,5
1498,5
1499,5
1500,8
1501,6
1502,4
1503,6
1504,7
1505,8
1506,7
1507,7
1508,6
1509,5
1510,5
1511,6
1512,7
1513,7
1514,6
1515,7
1516,7
1517,6
1518,6
1519,6
1520,8
1521,6
1522,7
1523,8
1524,7
1525,8
1526,7
1527,6
1528,5
1529,7
1530,7
1531,7
1532,5
1533,7
1534,7
1535,6
1536,7
1537,5
1538,8
1539,6
1540,7
1541,6
1542,6
1543,6
1544,6
1545,4
1546,6
1547,7
1548,6
1549,7
1550,8
1551,6
1552,5
1553,6
1554,6
1555,4
1556,7
1557,7
1558,6
1559,7
1560,6
1561,9
1562,6
1563,6
1564,5
1565,7
1566,6
1567,9
1568,7
1569,5
1570,5
1571,8
1572,6
1573,5
1574,6
1575,7
1576,7
1577,8
1578,8
1579,6
1580,6
1581,6
1582,6
1583,8
1584,5
1585,7
1586,10
1587,6
1588,7
1589,7
1590,6
1591,7
1592,8
1593,5
1594,6
1595,7
1596,9
1597,10
1598,6
1599,11
1600,7
1601,4
1602,12
1603,7
1604,7
1605,5
1606,6
1607,6
1608,5
1609,5
1610,5
1611,5
1612,6
1613,4
1614,6
1615,6
1616,3
1617,5
1618,4
1619,4
1620,7
1621,6
1622,6
1623,6
1624,5
1625,6
1626,5
1627,5
1628,6
1629,5
1630,6
1631,8
1632,9
1633,6
1634,7
1635,7
1636,7
1637,7
1638,6
1639,7
1640,7
1641,6
1642,3
1643,7
1644,6
1645,6
1646,7
1647,6
1648,7
1649,10
1650,6
1651,5
1652,8
1653,9
1654,5
1655,6
1656,5
1657,7
1658,5
1659,9
1660,6
1661,8
1662,4
1663,10
1664,7
1665,6
1666,9
1667,5
1668,9
1669,4
1670,4
1671,4
1672,11
1673,10
1674,7
1675,8
1676,10
1677,5
1678,6
1679,7
1680,10
1681,9
1682,6
1683,7
1684,6
1685,7
1686,8
1687,7
1688,6
1689,8
1690,7
1691,8
1692,9
1693,6
1694,4
1695,7
1696,8
1697,7
1698,6
1699,5
1700,9
1701,5
1702,7
1703,5
1704,5
1705,5
1706,5
1707,7
1708,6
1709,7
1710,7
1711,7
1712,5
1713,7
1714,7
1715,6
1716,5
1717,9
1718,6
1719,11
1720,10
1721,9
1722,7
1723,4
1724,8
1725,4
1726,8
1727,5
1728,5
1729,6
1730,6
1731,8
1732,6
1733,7
1734,10
1735,6
1736,8
1737,7
1738,11
1739,8
1740,6
1741,7
1742,5
1743,7
1744,6
1745,7
1746,6
1747,5
1748,4
1749,6
1750,7
1751,7
1752,8
1753,8
1754,7
1755,7
1756,6
1757,7
1758,6
1759,7
1760,7
1761,7
1762,6
1763,9
1764,10
1765,7
1766,7
1767,7
1768,7
1769,8
1770,6
1771,11
1772,6
1773,6
1774,4
1775,5
1776,7
1777,7
1778,8
1779,8
1780,4
1781,5
1782,7
1783,7
1784,5
1785,7
1786,5
1787,5
1788,6
1789,5
1790,7
1791,7
1792,6
1793,5
1794,8
1795,8
1796,7
1797,8
1798,9
1799,12
1800,7
1801,7
1802,5
1803,8
1804,11
1805,5
1806,9
1807,9
1808,6
1809,7
1810,6
1811,9
1812,9
1813,5
1814,6
1815,4
1816,6
1817,7
1818,4
1819,4
1820,5
1821,8
1822,6
1823,5
1824,6
1825,6
1826,5
1827,6
1828,7
1829,5
1830,6
1831,7
1832,6
1833,5
1834,5
1835,7
1836,6
1837,5
1838,9
1839,5
1840,4
1841,5
1842,4
1843,7
1844,6
1845,5
1846,6
1847,9
1848,6
1849,7
1850,4
1851,5
1852,6
1853,6
1854,6
1855,5
1856,6
1857,6
1858,5
1859,6
1860,7
1861,7
1862,7
1863,6
1864,6
1865,6
1866,8
1867,6
1868,7
1869,8
1870,6
1871,4
1872,6
1873,7
1874,6
1875,6
1876,8
1877,6
1878,5
1879,5
1880,7
1881,5
1882,8
1883,9
1884,6
1885,7
1886,6
1887,10
1888,5
1889,5
1890,5
1891,5
1892,9
1893,9
1894,10
1895,6
1896,6
1897,5
1898,6
1899,5
1900,5
1901,6
1902,4
1903,6
1904,5
1905,4
1906,6
1907,6
1908,7
1909,4
1910,6
1911,5
1912,6
1913,5
1914,5
1915,7
1916,6
1917,7
1918,6
1919,6
1920,6
1921,6
1922,7
1923,7
1924,5
1925,7
1926,7
1927,7
1928,7
1929,7
1930,6
1931,5
1932,6
1933,8
1934,5
1935,7
1936,5
1937,6
1938,5
1939,7
1940,5
1941,8
1942,9
1943,6
1944,6
1945,7
1946,6
1947,6
1948,5
1949,6
1950,8
1951,6
1952,6
1953,10
1954,9
1955,7
1956,6
1957,5
1958,5
1959,6
1960,6
1961,6
1962,6
1963,6
1964,6
1965,7
1966,5
1967,7
1968,5
1969,6
1970,7
1971,5
1972,6
1973,7
1974,5
1975,5
1976,7
1977,6
1978,6
1979,7
1980,6
1981,7
1982,7
1983,7
1984,8
1985,6
1986,6
1987,7
1988,6
1989,7
1990,6
1991,6
1992,7
1993,7
1994,5
1995,6
1996,6
1997,6
1998,6
1999,8
2000,7
2001,5
2002,5
2003,6
2004,7
2005,11
2006,7
2007,6
2008,6
2009,5
2010,8
2011,5
2012,6
2013,7
2014,8
2015,6
2016,10
2017,6
2018,5
2019,5
2020,8
2021,4
2022,8
2023,6
2024,4
2025,4
2026,3
2027,6
2028,10
2029,7
2030,6
2031,7
2032,8
2033,6
2034,5
2035,6
2036,7
2037,5
2038,6
2039,5
2040,8
2041,7
2042,7
2043,6
2044,5
2045,7
2046,5
2047,7
2048,7
2049,9
2050,6
2051,6
2052,5
2053,6
2054,6
2055,4
2056,5
2057,5
2058,6
2059,6
2060,7
2061,6
2062,7
2063,10
2064,5
2065,4
2066,5
2067,6
2068,5
2069,5
2070,6
2071,6
2072,5
2073,7
2074,6
2075,8
2076,4
2077,6
2078,6
2079,5
2080,9
2081,6
2082,5
2083,5
2084,5
2085,6
2086,7
2087,6
2088,6
2089,6
2090,7
2091,8
2092,5
2093,6
2094,6
2095,6
2096,5
2097,6
2098,6
2099,7
2100,7
2101,6
2102,6
2103,7
2104,6
2105,5
2106,6
2107,8
2108,5
2109,6
2110,5
2111,5
2112,7
2113,5
2114,6
2115,8
2116,7
2117,9
2118,6
2119,8
2120,6
2121,10
2122,9
2123,11
2124,10
2125,7
2126,6
2127,6
2128,7
2129,6
2130,7
2131,6
2132,6
2133,6
2134,4
2135,6
2136,5
2137,6
2138,5
2139,6
2140,7
2141,7
2142,6
2143,6
2144,5
2145,6
2146,6
2147,7
2148,6
2149,7
2150,7
2151,6
2152,8
2153,8
2154,6
2155,5
2156,5
2157,5
2158,5
2159,6
2160,7
2161,6
2162,6
2163,7
2164,7
2165,9
2166,8
2167,5
2168,7
2169,8
2170,6
2171,6
2172,7
2173,6
2174,6
2175,5
2176,5
2177,7
2178,9
2179,5
2180,6
2181,5
2182,8
2183,7
2184,8
2185,7
2186,9
2187,5
2188,7
2189,6
2190,7
2191,7
2192,5
2193,6
2194,6
2195,5
2196,5
2197,7
2198,5
2199,6
2200,5
2201,6
2202,5
2203,6
2204,8
2205,7
2206,5
2207,7
2208,7
2209,5
2210,7
2211,6
2212,8
2213,6
2214,7
2215,7
2216,5
2217,5
2218,7
2219,5
2220,8
2221,5
2222,9
2223,9
2224,5
2225,4
2226,9
2227,8
2228,5
2229,5
2230,5
2231,6
2232,5
2233,6
2234,5
2235,4
2236,6
2237,6
2238,5
2239,4
2240,7
2241,6
2242,7
2243,7
2244,5
2245,7
2246,4
2247,7
2248,5
2249,8
2250,6
2251,7
2252,5
2253,5
2254,6
2255,8
2256,8
2257,5
2258,4
2259,5
2260,5
2261,6
2262,6
2263,7
2264,10
2265,7
2266,6
2267,10
2268,6
2269,7
2270,8
2271,6
2272,7
2273,5
2274,6
2275,7
2276,8
2277,7
2278,7
2279,5
2280,8
2281,6
2282,8
2283,7
2284,6
2285,6
2286,6
2287,6
2288,6
2289,6
2290,7
2291,7
2292,7
2293,4
2294,4
2295,6
2296,5
2297,5
2298,7
2299,5
2300,5
2301,5
2302,6
2303,4
2304,6
2305,11
2306,9
2307,6
2308,5
2309,6
2310,6
2311,5
2312,8
2313,5
2314,7
2315,8
2316,9
2317,8
2318,9
2319,5
2320,7
2321,6
2322,5
2323,6
2324,12
2325,8
2326,10
2327,11
2328,6
2329,6
2330,7
2331,7
2332,7
2333,13
2334,8
2335,7
2336,5
2337,10
2338,8
2339,7
2340,8
2341,14
2342,12
2343,7
2344,6
2345,15
2346,11
2347,6
2348,5
2349,16
2350,9
2351,13
2352,7
2353,7
2354,3
2355,6
2356,6
2357,5
2358,6
2359,5
2360,6
2361,6
2362,7
2363,8
2364,5
2365,8
